"Plot","Tea_ID","Green","Rooibos","stab","ar","rate","Angle","New distances","ALT","Soilmoist","Distance","Spiral","Vegetation","Soil"
"Collison Head HE",169,34.3671441099094,12.6417191552427,0.591839143587775,0.225304792739548,0.0294096520111099,0,22.4,18.4,29,0.1,1,"Litter","Loose fibric"
"Collison Head HE",170,37.3546325878594,12.6569872958258,0.55635828280452,0.244890227891905,0.0259790800908742,0,20,21.4,35.6,2.5,2,"Moss","Loose fibric"
"Collison Head HE",171,37.7997565429093,13.5062545989698,0.55107177502483,0.247808380186294,0.0281257055902927,0,0,28.2,43.1,22.5,3,"Eriophorum tussock","Loose fibric"
"Collison Head HE",172,35.3164951668226,10.6125407756433,0.580564190417784,0.231528566889383,0.0218989087383641,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head HE",173,37.9804849201656,11.2380952380952,0.548925357242689,0.248993202802036,0.021438534786374,45,4.8,14.2,6.8,0.2,4,"Eriophorum tussock","Litter"
"Collison Head HE",174,39.036954087346,9.97060984570168,0.536378217489952,0.255919223945546,0.0176300214048168,45,0,14.9,13.6,5,5,"Willow shrub","Loose fibric"
"Collison Head HE",175,49.1437632135306,11.7690875232775,0.416344854946192,0.322177640069702,0.0162357077463194,90,25.3,31.4,36.1,0.3,6,"Forbs","Dense mesic"
"Collison Head HE",176,26.3680981595092,15,0.686839689316993,0.17286449149702,0.072247245854371,90,32.5,43.2,31.9,7.5,7,"Moss","Loose fibric"
"Collison Head HE",177,39.4156046005595,15.316927665921,0.53188118051592,0.258401588355212,0.0320837328654167,90,50,43,34.4,25,8,"Willow shrub","Loose fibric"
"Collison Head HE",178,32.874251497006,11.0653570079335,0.609569459655511,0.215517658270158,0.0257277761999174,135,9.6,22.4,33.5,0.4,9,"Willow shrub","Loose fibric"
"Collison Head HE",179,36.3160936145623,9.91537895511405,0.568692474886434,0.238081753862688,0.019237805781379,135,0,33,25.2,10,10,"Willow shrub","Moss"
"Collison Head HE",180,NA,12.9478032294405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head HE",181,38.8621794871795,9.35706084959816,0.53845392533041,0.254773433217614,0.0163468321435346,180,23,17.8,23.6,0.5,11,"Grasses","Dense mesic"
"Collison Head HE",182,29.4704353476283,11.4080353851824,0.649994829600614,0.193202854060461,0.0318836931147688,180,35,14.7,12.3,12.5,12,"Moss","Moss"
"Collison Head HE",183,40.7307813982917,13.0887885628292,0.516261503583234,0.267023650022055,0.024060163426417,180,50,38.5,35.4,27.5,13,"Litter","Litter"
"Collison Head HE",184,38.5639075753144,15.0749542961609,0.541996347086527,0.252818016408237,0.0323937868147507,225,5.75,45.5,36.6,0.75,14,"Bare soil","Mineral"
"Collison Head HE",185,36.768992248062,13.0400890868597,0.563313631258171,0.24105087554549,0.0278084316087828,225,20,38,23.5,15,15,"Moss","Very dense humic"
"Collison Head HE",186,32.7278731836196,13.7879939209727,0.611307919434447,0.214558028472185,0.0367487225447334,270,24,19.5,40.6,1,16,"Eriophorum tussock","Litter"
"Collison Head HE",187,33.7218164496666,15.269770879527,0.599503367581157,0.221074141095201,0.0419096398960403,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head HE",188,27.917598211434,11.6537753222836,0.668437075873705,0.183022734117715,0.0361655108688638,270,7.5,33.2,29.4,17.5,17,"Moss","Litter"
"Collison Head HE",189,35.3716012084592,11.8007117437722,0.579909724365092,0.231889832150469,0.0253961891776821,270,0,18.5,36.5,30,18,"Dryas","Loose fibric"
"Collison Head HE",190,39.1033198883028,15.1126708533432,0.535590025079539,0.256354306156095,0.0318012462617457,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head HE",191,38.3112680200059,14.7016274864376,0.544996816864538,0.251161757090775,0.0314395854615853,315,11.75,43.2,27,1.75,19,"Grasses","Loose fibric"
"Collison Head HE",192,29.5269016697588,12.1034613921643,0.649324208197639,0.193573037074903,0.0350549463512342,315,30,17.3,4.8,20,20,"Litter","Litter"
"Collison Head KO",145,NA,14.1319572429045,NA,NA,NA,0,22.4,36.9,48.3,0.1,1,"Dryas","Dense mesic"
"Collison Head KO",146,38.1278801843318,13.9061345158906,0.547174819663518,0.249959499545738,0.0290245232443651,0,20,30.6,31.2,2.5,2,"Moss","Moss"
"Collison Head KO",147,38.4449452672247,14.4194899124476,0.543409201101844,0.252038120991782,0.0303179223844264,0,0,36.2,48.3,22.5,3,"Dryas","Loose fibric"
"Collison Head KO",148,36.4959498301542,15.1703204047217,0.566556415318834,0.239260858744004,0.035902033168049,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head KO",149,34.908843537415,14.2339622641509,0.585405658700535,0.228856076397305,0.0347413823552269,45,4.8,28,10.2,0.2,4,"Dryas","Dense mesic"
"Collison Head KO",150,32.1952021031876,NA,0.617634179297059,0.211065933028024,NA,45,0,32.5,24.5,5,5,"Moss","Moss"
"Collison Head KO",151,35.268247036806,12.6122148638705,0.581137208589003,0.231212260858871,0.0281613561808389,90,25.3,37.3,37.8,0.3,6,"Grasses","Dense mesic"
"Collison Head KO",152,36.8956801470588,12.6026885735624,0.561809024381724,0.241881418541288,0.0262897222649386,90,32.5,28.4,28.3,7.5,7,"Forbs","Dense mesic"
"Collison Head KO",153,36.342645381984,14.1862170087977,0.568377133230593,0.238255822456712,0.0323180224292053,90,50,33.7,44,25,8,"Dryas","Dense mesic"
"Collison Head KO",154,38.6071113723185,14.8071883189816,0.54148323785845,0.253101252702136,0.0314124855816843,135,9.6,37.6,37,0.4,9,"Grasses","Loose fibric"
"Collison Head KO",155,38.4919309961046,14.1355311355311,0.542851175818235,0.252346150948334,0.029334074575786,135,0,52.2,29.5,10,10,"Dryas","Dense mesic"
"Collison Head KO",156,34.6658299341073,NA,0.588291806008227,0.227262923083459,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head KO",157,41.3479333744602,12.5298736770229,0.508931907666743,0.271069586967958,0.0221549891738624,180,23,22.3,33.7,0.5,11,"Moss","Dense mesic"
"Collison Head KO",158,33.4472511144131,15.1274248763788,0.602764238546163,0.219274140322518,0.0418148792440926,180,35,33.3,23.9,12.5,12,"Grasses","Loose fibric"
"Collison Head KO",159,36.7583497053045,12.0007710100231,0.563440027252915,0.240981104956391,0.0246124244124303,180,50,43.1,41.5,27.5,13,"Grasses","Loose fibric"
"Collison Head KO",160,38.6342903139254,12.75,0.541160447578083,0.253279432936898,0.0249986970185445,225,5.75,31.8,48.5,0.75,14,"Dryas","Dense mesic"
"Collison Head KO",161,NA,13.3296089385475,NA,NA,NA,225,20,30.3,35.8,15,15,"Dryas","Loose fibric"
"Collison Head KO",162,39.8730964467005,16.4326375711575,0.52644778566864,0.261400822310911,0.035377741861884,270,24,13.2,49.5,1,16,"Dryas","Dense mesic"
"Collison Head KO",163,37.83818356252,13.6853526220615,0.550615397119715,0.248060300789917,0.0286528772360376,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head KO",164,41.4771003942978,18.0261194029851,0.507397857549907,0.271916382632451,0.0388378934402603,270,7.5,42.5,29.2,17.5,17,"Dryas","Dense mesic"
"Collison Head KO",165,39.3160967472894,12.9102609939221,0.533062983998938,0.257749232832586,0.0248184949446884,270,0,34.5,31.1,30,18,"Grasses","Loose fibric"
"Collison Head KO",166,36.5693650315979,13.1826741996233,0.565684500812376,0.239742155551569,0.0285077243395753,NA,NA,NA,NA,NA,NA,NA,NA
"Collison Head KO",167,37.5577949021933,13.4825122226401,0.553945428715044,0.246222123349295,0.02832620220509,315,11.75,46,14.6,1.75,19,"Dryas","Dense mesic"
"Collison Head KO",168,40.1423097974822,14.4738805970149,0.523250477464582,0.263165736439551,0.0285174235857476,315,30,51.4,43.9,20,20,"Willow shrub","Dense mesic"
"Dry Grass",25,32.9137115839243,NA,0.609100812542466,0.215776351476559,NA,0,NA,64.2,41.5,0.1,1,"Moss","Mineral"
"Dry Grass",26,34.2133417243549,14.2616342982778,0.593665775245191,0.224296492064655,0.0360770643883865,0,NA,55.3,19.8,2.5,2,"Moss","Mineral"
"Dry Grass",27,33.5668400122362,NA,0.601343942847551,0.220058143548152,NA,0,NA,50.4,19.6,22.5,3,"Moss","Mineral"
"Dry Grass",28,39.5354053188081,14.0446927374302,0.530458369135296,0.259186980237317,0.0278790378074451,45,NA,61.3,41.9,0.2,4,"Willow shrub","Very dense humic"
"Dry Grass",29,33.516693163752,11.4951887490748,0.601939511119335,0.219729389862127,0.0264484880832402,45,NA,48,18.8,5,5,"Willow shrub","Litter"
"Dry Grass",30,41.8938480096502,12.8141459744168,0.50244836093052,0.274648504766353,0.0224435214086472,90,NA,61.9,38.4,0.3,6,"Willow shrub","Very dense humic"
"Dry Grass",31,36.2890980868509,14.59375,0.569013086854502,0.237904776056315,0.0339442026525591,90,NA,61.2,13.8,7.5,7,"Willow shrub","Litter"
"Dry Grass",32,32.9123791705644,12.7319236016371,0.609116636929164,0.215767616415101,0.0318493881820876,90,NA,37.6,6.7,25,8,"Willow shrub","Very dense humic"
"Dry Grass",33,33.1403053874964,13.2541182824737,0.606409674732822,0.217261859547482,0.0336337022513985,NA,NA,NA,NA,NA,NA,NA,NA
"Dry Grass",34,40.2176578786021,14.3241379310345,0.522355607142493,0.263659704857344,0.02798884100323,135,NA,57.5,35.8,0.4,9,"Willow shrub","Very dense humic"
"Dry Grass",35,36.03003003003,13.6240601503759,0.572089904631472,0.236206372643427,0.0307099301596698,135,NA,52.5,14.5,10,10,"Willow shrub","Very dense humic"
"Dry Grass",36,32.4455507156192,11.6292541636495,0.614660917866756,0.212707173337551,0.028259231269593,NA,NA,NA,NA,NA,NA,NA,NA
"Dry Grass",37,32.9255483472351,14.2011278195489,0.608960233405759,0.215853951160021,0.0383094727858072,180,NA,53.9,16.7,0.5,11,"Willow shrub","Very dense humic"
"Dry Grass",38,NA,16.1047463175123,NA,NA,NA,180,NA,46.8,23.5,12.5,12,"Willow shrub","Dense mesic"
"Dry Grass",39,32.6323891625616,11.2042459736457,0.612441933936323,0.21393205246715,0.026491737497762,180,NA,46.2,20.6,27.5,13,"Forbs","Very dense humic"
"Dry Grass",40,NA,15.0580130529369,NA,NA,NA,225,NA,62.6,29.9,0.75,14,"Willow shrub","Dense mesic"
"Dry Grass",41,33.0526918671248,14.7715156130998,0.607450215354812,0.216687481124144,0.0408839571160642,225,NA,34.2,31.2,15,15,"Moss","Loose fibric"
"Dry Grass",42,NA,11.6176470588235,NA,NA,NA,270,NA,65.8,41.5,1,16,"Willow shrub","Dense mesic"
"Dry Grass",43,36.649806605177,14.5956305097738,0.564729137705736,0.240269515986434,0.0333978572306377,NA,NA,NA,NA,NA,NA,NA,NA
"Dry Grass",44,28.6918274687855,11.3729809104258,0.659241954052429,0.188098441363059,0.0331404002337895,270,NA,46.4,9,17.5,17,"Willow shrub","Very dense humic"
"Dry Grass",45,NA,NA,NA,NA,NA,270,NA,47.6,20.4,30,18,"Willow shrub","Dense mesic"
"Dry Grass",46,37.0636073191984,14.1224489795918,0.559814639914509,0.242982318767191,0.0310854612088918,NA,NA,NA,NA,NA,NA,NA,NA
"Dry Grass",47,31.2244301578025,8.54314531191632,0.62916353731826,0.20470172740032,0.0192914928953605,315,NA,52.2,20.4,1.75,19,"Willow shrub","Dense mesic"
"Dry Grass",48,32.8638086905803,10.4770256050509,0.609693483484794,0.215449197116394,0.023788983934585,315,NA,4.9,49.3,20,20,"Willow shrub","Very dense humic"
"East Creek North",73,34.6312124089902,12.5197415649677,0.588702940510805,0.227035976838036,0.0286328452573465,0,22.4,22.3,36.1,0.1,1,"Sedge","Loose fibric"
"East Creek North",74,52.7367424242424,17.0860685630926,0.373672892823724,0.345732563161304,0.0243432842841973,0,20,27.3,48.5,2.5,2,"Sedge","Loose fibric"
"East Creek North",75,39.9130434782609,17.7143882310728,0.525973355365073,0.26166270783848,0.0403600715307059,0,0,24.5,42.4,22.5,3,"Sedge","Loose fibric"
"East Creek North",76,39.693741677763,17.2563559322034,0.528577889812791,0.260225004823339,0.0388594455435736,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek North",77,34.9073792894018,12.9163636363636,0.585423048819457,0.22884647705166,0.0296806364334508,45,4.8,20,42.4,0.2,4,"Sedge","Loose fibric"
"East Creek North",78,38.7556492919554,14.5272314674735,0.539719129549223,0.254075040488829,0.0302890453869726,45,0,22,44.6,5,5,"Sedge","Loose fibric"
"East Creek North",79,36.2073170731707,13.9838025453143,0.569984357800823,0.237368634493946,0.0317660030326068,90,25.3,18.7,41.7,0.3,6,"Sedge","Loose fibric"
"East Creek North",80,37.3567356735674,16.6692073170732,0.55633330553958,0.244904015342152,0.0407658575209366,90,32.5,44.5,48.1,7.5,7,"Sedge","Loose fibric"
"East Creek North",81,38.0433417085427,18.0007418397626,0.548178839566001,0.249405280559567,0.0456865408435742,90,50,15.6,35.9,25,8,"Sedge","Loose fibric"
"East Creek North",82,34.560968896229,16.8565169769989,0.589537186505594,0.226575473048912,0.048659195223344,135,9.6,16.5,39.2,0.4,9,"Sedge","Loose fibric"
"East Creek North",83,35.2187028657617,12.1444444444444,0.581725619171476,0.230887458217345,0.0266616573684053,135,0,44.4,16.4,10,10,"Sedge","Loose fibric"
"East Creek North",84,35.1434809731753,10.18698578908,0.582618990817396,0.230394317068798,0.0208454654642032,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek North",85,37.2431769395891,14.9750712250712,0.557681984090391,0.244159544782104,0.0339352589265749,180,23,22.3,42.3,0.5,11,"Moss","Dense mesic"
"East Creek North",86,40.1403294691885,12.7249637155297,0.523273996802987,0.263152753764751,0.023599729370083,180,35,41.7,6.5,12.5,12,"Moss","Moss"
"East Creek North",87,30.9312839059675,14.7579693034238,0.632645084252168,0.202779913492803,0.0464697954938761,180,50,43.3,21.4,27.5,13,"Litter","Litter"
"East Creek North",88,34.8201839977697,12.6942404329339,0.586458622354279,0.228274840460438,0.0290051351743108,225,5.75,23.2,41.1,0.75,14,"Equisetum and Pedicites","Moss"
"East Creek North",89,31.4408901251738,18.5401459854015,0.626592753857793,0.206120799870498,0.0820498157021702,225,20,31.4,28,15,15,"Moss","Moss"
"East Creek North",90,34.6997228210656,14.4159758854559,0.587889277659553,0.227485118731927,0.0358689957478357,270,24,19.9,41.2,1,16,"Dryas","Dense mesic"
"East Creek North",91,31.1213801601972,10.2585888437384,0.630387409023786,0.20402615021887,0.0249563607727604,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek North",92,39.0346133044889,14.4817518248175,0.536406017761414,0.255903878195699,0.0298033564933568,270,7.5,24.5,40.1,17.5,17,"Sedge and equisetum","Loose fibric"
"East Creek North",93,33.9737609329446,12.5037147102526,0.596511152815385,0.222725843645908,0.0294341342016003,270,0,35,42.7,30,18,"Forbs","Dense mesic"
"East Creek North",94,37.6852400711322,11.9435975609756,0.552431828133822,0.24705763087013,0.0235911272925016,NA,NA,NA,NA,NA,NA,NA,NA
